mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model,param_model__C,param_model__kernel,param_model__n_neighbors,param_model__weights,param_model__max_depth,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model_name
0.032821941375732425,0.014980860413359791,0.023216867446899415,0.012008455848829496,SVC(C=np.float64(3.1087830981676965)),8.065429868602328,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(8.065429868602328), 'model__kernel': 'rbf'}",0.5833333333333334,0.7027027027027027,0.6176470588235294,0.6329113924050633,0.6666666666666666,0.640652230786259,0.04099177102865103,51,SVC
0.02841663360595703,0.01208029166346832,0.020954608917236328,0.005495389700234721,SVC(C=np.float64(3.1087830981676965)),7.896910002727692,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(7.896910002727692), 'model__kernel': 'rbf'}",0.5833333333333334,0.7027027027027027,0.6176470588235294,0.6329113924050633,0.6666666666666666,0.640652230786259,0.04099177102865103,51,SVC
0.021151208877563478,0.002266197179827734,0.0261782169342041,0.011166593118680136,SVC(C=np.float64(3.1087830981676965)),4.558327528535911,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(4.558327528535911), 'model__kernel': 'rbf'}",0.6216216216216216,0.7222222222222222,0.6086956521739131,0.6153846153846154,0.6753246753246753,0.6486497573454095,0.04372157167275824,12,SVC
0.02359609603881836,0.003398564225697325,0.014994478225708008,0.005647429120878343,SVC(C=np.float64(3.1087830981676965)),4.692488919658671,rbf,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(4.692488919658671), 'model__kernel': 'rbf'}",0.6216216216216216,0.7222222222222222,0.6086956521739131,0.5974025974025974,0.6753246753246753,0.645053353749006,0.04693167434914706,20,SVC
0.021636486053466797,0.015499708628218058,0.011352729797363282,0.0014699427250141409,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,10.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.5671641791044776,0.676056338028169,0.6363636363636364,0.6153846153846154,0.7341772151898734,0.6458291968141543,0.05643351274059479,16,KNeighborsClassifier
0.014355754852294922,0.001135722877509797,0.010738992691040039,0.004586164737810482,SVC(C=np.float64(3.1087830981676965)),0.30584494295802445,linear,,,,,"{'model': SVC(C=np.float64(3.1087830981676965)), 'model__C': np.float64(0.30584494295802445), 'model__kernel': 'linear'}",0.6301369863013698,0.7096774193548387,0.5970149253731343,0.5588235294117647,0.7058823529411765,0.6403070426764568,0.05954757909109184,56,SVC
0.012248420715332031,0.00435374287754299,0.01569685935974121,0.007839167423411742,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,14.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 14, 'model__weights': 'distance'}",0.5753424657534246,0.6666666666666666,0.6363636363636364,0.5625,0.7027027027027027,0.628715094297286,0.053303028861560665,83,KNeighborsClassifier
0.5382785797119141,0.010198690329201503,0.04409012794494629,0.010747033454768327,"RandomForestClassifier(max_depth=14, n_estimators=261)",,,,,4.0,291.0,"{'model': RandomForestClassifier(max_depth=14, n_estimators=261), 'model__max_depth': 4, 'model__n_estimators': 291}",0.6197183098591549,0.6666666666666666,0.6060606060606061,0.5757575757575758,0.6666666666666666,0.626973965002134,0.035395346507359704,86,RandomForestClassifier
0.010105752944946289,0.0008186132463054057,0.012319660186767578,0.0027890474233702757,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,7.0,uniform,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 7, 'model__weights': 'uniform'}",0.5797101449275363,0.6376811594202898,0.6176470588235294,0.5507246376811594,0.717948717948718,0.6207423437602466,0.05715190977263668,93,KNeighborsClassifier
0.01323390007019043,0.004133815009700898,0.010418272018432618,0.0018194136935388583,"KNeighborsClassifier(n_neighbors=11, weights='distance')",,,12.0,distance,,,"{'model': KNeighborsClassifier(n_neighbors=11, weights='distance'), 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.5915492957746479,0.6376811594202898,0.625,0.625,0.72,0.6398460910389876,0.042901583471301526,66,KNeighborsClassifier
0.010902786254882812,0.0005889615433168785,0.007847213745117187,0.0004827365860209507,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",4.329450186421157,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(4.329450186421157)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
0.01049342155456543,0.000551604053949826,0.007305622100830078,0.00011197462523272464,"LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000)",5.257746602583891,,,,,,"{'model': LogisticRegression(C=np.float64(0.16966252220214195), max_iter=1000), 'model__C': np.float64(5.257746602583891)}",0.6111111111111112,0.7096774193548387,0.6176470588235294,0.5753424657534246,0.704225352112676,0.6436006814311159,0.053721192658811555,26,LogisticRegression
